name,year,draftPick,height,heightWithShoes,wingspan,standingReach,max,maxReach,noStep,noStepReach,weight,bodyFat,handLength,handWidth,bench,agility,sprint
robin benzing,2010,null,6'9 ¾",6'11 ¼",6'10 ½",9'0 ¼",29.1",11'5 ¼",22.4",10'10 ½",223,null,null,null,null,null,null
joffrey lauvergne,2011,55,6'9 ¾",6'11",6'9 ½",8'7 ½",31.6",11'3",23.8",10'7 ¼",225,3.2,null,null,null,null,3.24
lucas nogueira,2011,16,6'9 ¾",6'11",7'4 ¾",9'2 ½",20.9",10'11 ½",17.6",10'8",215,5.7,null,null,null,null,3.67
marko lekic,2007,null,6'9 ¾",6'10 ½",7'1",9'0 ½",30.5",11'7",24",11'0 ½",267,11.4,null,null,19,11.96,3.43
james hughes,2007,null,6'9 ¾",6'10 ¾",7'3",9'3",33",12'0",31",11'10",209,3.5,null,null,8,13.31,3.37
matt haryasz,2006,null,6'9 ¾",6'11",7'0 ¼",8'11 ½",31.5",11'7",27.5",11'3",219,9.8,null,null,10,11.34,3.46
randall jackson,1998,null,6'9 ¾",null,null,null,null,null,null,null,210,null,null,null,null,null,null
rasheed wallace,1995,4,6'9 ¾",null,null,null,null,null,null,null,230,null,null,null,null,null,null
russell larson,1995,null,6'9 ¾",null,null,null,null,null,null,null,219,null,null,null,null,null,null
horacio llamas,1996,null,6'9 ¾",null,null,null,null,null,null,null,282,null,null,null,null,null,null
deandre jordan,2008,35,6'9 ¾",6'11",7'6",9'5 ½",30.5",12'0",26",11'7 ½",250,7.5,null,null,8,12.3,3.27
aleks maric,2008,null,6'9 ¾",6'10 ¾",7'1",9'1 ½",28",11'5 ½",23",11'0 ½",273,10.1,null,null,15,11.76,3.35
jules camara,2003,null,6'9 ¾",6'11 ¼",7'2 ¼",9'1",34.5",11'11 ½",28.5",11'5 ½",211,9.9,null,null,2,11.51,3.2
jason keep,2003,null,6'9 ¾",6'11",7'0 ½",8'10 ½",34",11'8 ½",29.5",11'4",270,8.6,null,null,27,11.18,3.3
troy murphy,2001,14,6'9 ¾",6'11",6'11",8'9 ½",34.5",11'8",28.5",11'2",230,null,null,null,11,11.22,3.43
vassil evtimov,2000,null,6'9 ¾",6'10 ½",6'10 ½",8'10 ½",28.5",11'3",21",10'7 ½",262,null,null,null,13,11.75,3.52
jabari smith,2000,45,6'9 ¾",6'11",7'2 ½",9'1 ½",30",11'7 ½",24.5",11'2",241,null,null,null,15,12.45,3.43
austin daye,2009,15,6'9 ¾",6'10 ¾",7'2 ¾",9'2",28",11'6",25",11'3",192,5.5,null,null,null,12.11,3.55
greg monroe,2010,7,6'9 ¾",6'11",7'2 ¼",9'0 ½",29",11'5 ½",25",11'1 ½",247,11.2,8.75",9.5",15,12.1,3.35
